emp_no,dept_no,first_name,last_name,title,dept_name,salary
10001,d005,Georgi,Facello,Senior Engineer,Development,60117
10004,d004,Chirstian,Koblick,Senior Engineer,Production,40054
10009,d006,Sumant,Peac,Senior Engineer,Quality Management,60929
10018,d004,Kazuhide,Peha,Senior Engineer,Production,55881
10035,d004,Alain,Chappelet,Senior Engineer,Production,41538
10053,d007,Sanjiv,Zschoche,Senior Staff,Sales,67854
10058,d001,Berhard,McFarlin,Senior Staff,Marketing,52787
10066,d005,Kwee,Schusler,Senior Engineer,Development,69736
10067,d006,Claudi,Stavenow,Senior Engineer,Quality Management,44642
10070,d008,Reuven,Garigliano,Technique Leader,Research,55999
10072,d005,Hironoby,Sidou,Senior Engineer,Development,40000
10076,d005,Erez,Ritzmann,Senior Engineer,Development,47319
10088,d009,Jungsoon,Syrzycki,Senior Staff,Customer Service,65957
10100,d003,Hironobu,Haraldson,Senior Staff,Human Resources,54398
10103,d005,Akemi,Birch,Engineer,Development,68158
10126,d009,Kayoko,Valtorta,Senior Staff,Customer Service,40000
10129,d005,Armond,Peir,Technique Leader,Development,40000
10130,d004,Nishit,Casperson,Senior Engineer,Production,40000
10134,d004,Diederik,Siprelle,Senior Engineer,Production,40000
10138,d006,Perry,Shimshoni,Senior Engineer,Quality Management,53574
10326,d008,Masali,Czap,Staff,Research,40000
10340,d001,Djelloul,Laventhal,Senior Staff,Marketing,68132
10347,d008,Pradeep,Kaminger,Staff,Research,42199
10355,d007,Satyanarayana,Cochrane,Staff,Sales,70434
10356,d008,Vasilis,Standera,Senior Staff,Research,45376
10364,d004,Nakhoon,Dengi,Senior Engineer,Production,51401
10372,d004,Anneli,Frijda,Technique Leader,Production,54505
10387,d009,Parto,Wrigley,Senior Staff,Customer Service,61374
10396,d005,Sibyl,Rahier,Senior Engineer,Development,40393
10402,d006,Volkmar,Ebeling,Technique Leader,Quality Management,40000
10404,d005,Prodip,Rosti,Senior Engineer,Development,51647
10426,d005,Arunas,Luce,Technique Leader,Development,65757
10429,d005,Martien,Improta,Senior Engineer,Development,40000
10432,d009,Hisao,Tiemann,Senior Staff,Customer Service,40000
10451,d004,Bodh,Ranta,Senior Engineer,Production,46275
10453,d009,Tsvetan,Matzel,Senior Staff,Customer Service,40000
10463,d007,Ung,Zaiane,Staff,Sales,66480
10486,d006,Amstein,Kossowski,Senior Engineer,Quality Management,71692
10494,d004,Yakkov,Servieres,Senior Engineer,Production,50094
10504,d007,Xiong,Varker,Staff,Sales,43931
10512,d003,Udi,Gihr,Senior Staff,Human Resources,40000
10522,d003,Marke,Cesareni,Senior Staff,Human Resources,40000
10548,d001,Ramalingam,Gunderson,Senior Staff,Marketing,90631
10564,d004,Jianhao,Thisen,Senior Engineer,Production,46660
10623,d008,Aleksander,Danlos,Senior Engineer,Research,60268
10628,d005,Krisda,Krogh,Senior Engineer,Development,41650
10631,d005,Inderjeet,Chaudhuri,Engineer,Development,40000
10642,d005,Hirochika,Narlikar,Engineer,Development,40000
10653,d005,Otmar,Feinberg,Senior Engineer,Development,40000
10671,d003,Parviz,Rebaine,Senior Staff,Human Resources,74037
10676,d005,Valeri,Danley,Engineer,Development,58226
10693,d009,Berhard,Daescu,Senior Staff,Customer Service,40000
10702,d005,Bader,Szemeredi,Senior Engineer,Development,46581
10718,d005,Adib,Rullman,Senior Engineer,Development,75473
10726,d005,Zita,Minakawa,Senior Engineer,Development,46315
10734,d004,Sachar,Erdi,Engineer,Production,47377
10745,d004,Poorav,Ranze,Senior Engineer,Production,40000
10749,d004,King,Brendel,Senior Engineer,Production,60829
10767,d007,Monique,Doering,Staff,Sales,40651
10768,d004,Ishfaq,Candan,Senior Engineer,Production,65717
10778,d001,Selwyn,Merey,Senior Staff,Marketing,64996
10791,d005,Tadahiko,Sgarro,Senior Engineer,Development,40000
10795,d007,Supot,Naudin,Senior Staff,Sales,84206
10808,d005,Chenxi,Leijenhorst,Senior Engineer,Development,40000
10835,d004,Tomoyuki,Kermarrec,Engineer,Production,40000
10836,d009,Jianhua,Leivant,Senior Staff,Customer Service,65502
10844,d005,Dipayan,Koprowski,Engineer,Development,40000
10847,d008,Theirry,Danley,Senior Staff,Research,40000
10848,d004,Fen,Bratsberg,Senior Engineer,Production,50475
11009,d007,Alper,Axelband,Senior Staff,Sales,75111
11012,d009,Taegyun,Speckmann,Staff,Customer Service,72092
11019,d005,Leon,Huttel,Senior Engineer,Development,69387
11021,d008,Srinidhi,Henders,Staff,Research,62670
11027,d004,Remzi,Cappello,Senior Engineer,Production,40000
11031,d001,Ottavia,Walstra,Senior Staff,Marketing,71654
11037,d004,Lansing,Maliniak,Senior Engineer,Production,40000
11038,d008,Jinya,Beidas,Senior Staff,Research,44993
11042,d005,Gou,Breugel,Senior Engineer,Development,40000
11048,d007,Jaques,Demke,Senior Staff,Sales,65697
11050,d001,Elvis,Katiyar,Senior Staff,Marketing,52251
11051,d004,Przemyslawa,Erol,Senior Engineer,Production,40000
11070,d006,Adib,Raney,Senior Engineer,Quality Management,40000
11081,d002,Barry,Boyle,Senior Staff,Finance,65686
11085,d004,Hailing,Thummel,Senior Engineer,Production,66437
11100,d008,Berna,Cochrane,Senior Staff,Research,40000
11106,d005,Aris,Iwayama,Senior Engineer,Development,71446
11112,d009,Boaz,Mukaidono,Staff,Customer Service,40000
11113,d001,Shahab,Peng,Senior Staff,Marketing,66401
11121,d005,Vugranam,Kakkad,Senior Engineer,Development,40000
11133,d006,Nalini,Azulay,Technique Leader,Quality Management,40000
11134,d006,Sachar,Rajcani,Senior Engineer,Quality Management,58731
11137,d005,Hugh,Luca,Engineer,Development,40000
11290,d005,Visit,Dredge,Engineer,Development,65034
11295,d002,Abdelkader,Lanzelotte,Senior Staff,Finance,66622
11319,d005,Pranas,Marrakchi,Assistant Engineer,Development,40000
11320,d001,Atilio,McAlpine,Senior Staff,Marketing,45118
11322,d006,Nathalie,Pocchiola,Senior Engineer,Quality Management,43021
11324,d004,Kauko,Billingsley,Senior Engineer,Production,54288
11338,d007,Kwangsub,Hanratty,Senior Staff,Sales,82210
11339,d004,Flemming,Massonet,Senior Engineer,Production,40000
11347,d005,Anneli,Jonsson,Senior Engineer,Development,41524
11365,d004,Toshimi,Shinomoto,Engineer,Production,56463
11376,d008,Valery,Suomi,Senior Staff,Research,46964
11380,d005,Kenroku,Pelc,Senior Engineer,Development,53345
11385,d004,Shiv,Ullian,Engineer,Production,40000
11386,d006,Alselm,Assaf,Senior Engineer,Quality Management,47726
11393,d004,Junsik,Junot,Senior Engineer,Production,40000
11398,d002,Oscar,Peir,Senior Staff,Finance,44625
11404,d005,Bedrich,Borovoy,Technique Leader,Development,42907
11415,d004,Sanjiv,Anido,Engineer,Production,40000
11421,d004,Josyula,Msuda,Senior Engineer,Production,52416
11567,d007,Teiji,Mitzlaff,Senior Staff,Sales,86261
11568,d005,Martins,Fujisaki,Senior Engineer,Development,54673
11603,d002,Herb,Swen,Senior Staff,Finance,69180
11607,d004,Tomokazu,Foong,Engineer,Production,49584
11615,d007,Shem,Isaak,Senior Staff,Sales,46591
11624,d004,Adil,Gammage,Senior Engineer,Production,42001
11628,d008,Fan,Malinowski,Senior Engineer,Research,43966
11640,d005,Valeri,Coorg,Senior Engineer,Development,52520
11647,d005,Magy,Nitsche,Senior Engineer,Development,40000
11660,d007,Gill,Stenning,Senior Staff,Sales,65758
11673,d004,Henk,Felder,Technique Leader,Production,40000
11676,d004,Valeri,Ferriere,Engineer,Production,43310
11681,d004,Fumitake,Benzmuller,Senior Engineer,Production,40000
11684,d001,Oksana,Gide,Senior Staff,Marketing,68753
11696,d007,Dante,Rothe,Senior Staff,Sales,51633
11853,d001,Zeljko,Kusakabe,Senior Staff,Marketing,61941
11857,d007,Divier,Farrag,Senior Staff,Sales,94805
11864,d009,Pradeep,Kriebel,Staff,Customer Service,52517
11871,d005,Nalini,Sommen,Senior Engineer,Development,67424
11872,d001,Cheong,Riexinger,Senior Staff,Marketing,43159
11894,d005,Mitchel,Validov,Senior Engineer,Development,56198
11897,d007,Cordelia,Setlzner,Senior Staff,Sales,80049
11906,d005,Hideo,Boguraev,Engineer,Development,81324
11915,d004,Miomir,Mawatari,Senior Engineer,Production,58042
11931,d008,Gunilla,Chiodo,Senior Staff,Research,73369
11933,d005,Basil,Erman,Senior Engineer,Development,56130
11949,d004,Martijn,Harbusch,Technique Leader,Production,40000
11983,d005,Jaana,Hedayat,Senior Engineer,Development,40000
12149,d007,Suebskul,Grandbois,Senior Staff,Sales,109934
12159,d005,Shem,Perly,Senior Engineer,Development,61210
12165,d005,Xiaobin,Maquelin,Senior Engineer,Development,41951
12183,d006,Harngdar,Iisaku,Engineer,Quality Management,40000
12192,d006,Feiyu,Klyachko,Senior Engineer,Quality Management,41625
12205,d005,Sushant,Rossi,Senior Engineer,Development,40000
12206,d005,Barton,Janetzko,Senior Engineer,Development,40000
12218,d006,Yaghout,Strooper,Senior Engineer,Quality Management,40000
12221,d005,Vincent,Melter,Senior Engineer,Development,56736
12222,d002,Abdelwaheb,Holburn,Senior Staff,Finance,55840
12223,d004,Niteen,Koyama,Senior Engineer,Production,54459
12247,d005,Subbu,Penttonen,Technique Leader,Development,59183
12249,d005,Eldridge,Sadowski,Senior Engineer,Development,70099
12256,d003,Guadalupe,Reghbati,Senior Staff,Human Resources,40000
12264,d005,Mart,Pagter,Engineer,Development,51816
12270,d008,Shakhar,Kornyak,Senior Staff,Research,52840
12272,d003,Behnaam,Grandbois,Senior Staff,Human Resources,43811
12417,d004,Dannz,Spelt,Senior Engineer,Production,67342
12422,d003,Berhard,Demos,Senior Staff,Human Resources,71376
12454,d007,Kerryn,Farris,Staff,Sales,41347
